ID;X;Y;Techno;operateur;dbm;Puissance recue
OP1_4G_1;528480;6734006;4G;OP1;-122;Mauvaise
OP1_4G_2;532425;6735325;4G;OP1;-114;Moyenne
OP1_4G_3;534492;6734651;4G;OP1;-39;Bonne
OP1_4G_4;534096;6736042;4G;OP1;-40;Bonne
OP1_4G_5;535524;6734374;4G;OP1;-115;Moyenne
OP1_4G_6;540544;6724746;4G;OP1;-96;Moyenne
OP1_4G_7;539945;6728400;4G;OP1;-41;Bonne
OP1_4G_8;543232;6729881;4G;OP1;-88;Bonne
OP1_4G_9;545855;6735935;4G;OP1;-42;Bonne
OP1_4G_10;548624;6734555;4G;OP1;-36;Bonne
OP1_4G_11;551484;6727121;4G;OP1;-73;Bonne
OP1_4G_12;550439;6732186;4G;OP1;-34;Bonne
OP1_4G_13;550434;6734491;4G;OP1;-54;Bonne
OP1_4G_14;550972;6736262;4G;OP1;-47;Bonne
OP1_4G_15;526766;6743017;4G;OP1;-62;Bonne
OP1_4G_16;532445;6739046;4G;OP1;-39;Bonne
OP1_4G_17;533873;6743835;4G;OP1;-107;Moyenne
OP1_4G_18;533632;6752543;4G;OP1;-139;Mauvaise
OP1_4G_19;538430;6741767;4G;OP1;-77;Bonne
OP1_4G_20;538736;6742095;4G;OP1;-60;Bonne
OP1_4G_21;538559;6742900;4G;OP1;-92;Bonne
OP1_4G_22;537419;6746297;4G;OP1;-30;Bonne
OP1_4G_23;538664;6744479;4G;OP1;-100;Moyenne
OP1_4G_24;537235;6748579;4G;OP1;-92;Bonne
OP1_4G_25;538939;6748942;4G;OP1;-98;Moyenne
OP1_4G_26;539491;6741266;4G;OP1;-66;Bonne
OP1_4G_27;540000;6743859;4G;OP1;-110;Moyenne
OP1_4G_28;543614;6748282;4G;OP1;-23;Bonne
OP1_4G_29;542783;6758002;4G;OP1;-31;Bonne
OP1_4G_30;543567;6758997;4G;OP1;-45;Bonne
OP1_4G_31;544446;6736519;4G;OP1;-47;Bonne
OP1_4G_32;544548;6738031;4G;OP1;-92;Bonne
OP1_4G_33;545665;6737003;4G;OP1;-74;Bonne
OP1_4G_34;546611;6743258;4G;OP1;-37;Bonne
OP1_4G_35;546108;6744727;4G;OP1;-22;Bonne
OP1_4G_36;546151;6746952;4G;OP1;-75;Bonne
OP1_4G_37;545447;6749014;4G;OP1;-64;Bonne
OP1_4G_38;552433;6745761;4G;OP1;-117;Mauvaise
OP1_4G_39;552729;6745840;4G;OP1;-130;Mauvaise
OP1_4G_40;553073;6746534;4G;OP1;-112;Moyenne
OP1_4G_41;545473;6751774;4G;OP1;-76;Bonne
OP1_4G_42;546316;6757784;4G;OP1;-94;Bonne
OP1_4G_43;547238;6755120;4G;OP1;-96;Moyenne
OP1_4G_44;548042;6761642;4G;OP1;-99;Moyenne
OP1_4G_45;550589;6753474;4G;OP1;-45;Bonne
OP1_4G_46;553347;6755904;4G;OP1;-86;Bonne
OP1_4G_47;549602;6761743;4G;OP1;-122;Mauvaise
OP1_4G_48;551440;6758425;4G;OP1;-112;Moyenne
OP1_4G_49;549667;6764900;4G;OP1;-107;Moyenne
OP1_4G_50;551051;6763057;4G;OP1;-114;Moyenne
OP1_4G_51;552106;6758318;4G;OP1;-98;Moyenne
OP1_4G_52;552709;6765325;4G;OP1;-34;Bonne
OP1_4G_53;538932;6767954;4G;OP1;-114;Moyenne
OP1_4G_54;539753;6771486;4G;OP1;-117;Mauvaise
OP1_4G_55;538455;6776420;4G;OP1;-127;Mauvaise
OP1_4G_56;542268;6772105;4G;OP1;-127;Mauvaise
OP1_4G_57;542662;6769128;4G;OP1;-94;Bonne
OP1_4G_58;544106;6770701;4G;OP1;-108;Moyenne
OP1_4G_59;541673;6773847;4G;OP1;-126;Mauvaise
OP1_4G_60;541812;6776501;4G;OP1;-101;Moyenne
OP1_4G_61;542747;6776292;4G;OP1;-113;Moyenne
OP1_4G_62;544268;6774477;4G;OP1;-133;Mauvaise
OP1_4G_63;546878;6766427;4G;OP1;-102;Moyenne
OP1_4G_64;546554;6771330;4G;OP1;-124;Mauvaise
OP1_4G_65;549514;6770021;4G;OP1;-140;Mauvaise
OP1_4G_66;546095;6775153;4G;OP1;-120;Mauvaise
OP1_4G_67;546003;6776014;4G;OP1;-99;Moyenne
OP1_4G_68;545318;6779839;4G;OP1;-24;Bonne
OP1_4G_69;548332;6778786;4G;OP1;-108;Moyenne
OP1_4G_70;551665;6769824;4G;OP1;-109;Moyenne
OP1_4G_71;554057;6768968;4G;OP1;-47;Bonne
OP1_4G_72;552151;6771077;4G;OP1;-102;Moyenne
OP1_4G_73;550472;6779465;4G;OP1;-27;Bonne
OP1_4G_74;553152;6776239;4G;OP1;-28;Bonne
OP1_4G_75;551084;6781877;4G;OP1;-106;Moyenne
OP1_4G_76;561605;6688390;4G;OP1;-97;Moyenne
OP1_4G_77;560822;6689384;4G;OP1;-56;Bonne
OP1_4G_78;560824;6690750;4G;OP1;-20;Bonne
OP1_4G_79;561096;6691878;4G;OP1;-96;Moyenne
OP1_4G_80;561785;6690465;4G;OP1;-73;Bonne
OP1_4G_81;562179;6691276;4G;OP1;-71;Bonne
OP1_4G_82;560407;6692669;4G;OP1;-126;Mauvaise
OP1_4G_83;561001;6696942;4G;OP1;-100;Moyenne
OP1_4G_84;562462;6697279;4G;OP1;-36;Bonne
OP1_4G_85;561934;6697812;4G;OP1;-101;Moyenne
OP1_4G_86;558717;6701575;4G;OP1;-21;Bonne
OP1_4G_87;558327;6703940;4G;OP1;-40;Bonne
OP1_4G_88;559754;6706219;4G;OP1;-40;Bonne
OP1_4G_89;561868;6700692;4G;OP1;-96;Moyenne
OP1_4G_90;560546;6703658;4G;OP1;-63;Bonne
OP1_4G_91;566460;6691137;4G;OP1;-101;Moyenne
